"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","202","2.4 Подсчет товара 1","WMS Тестирование","Sun Apr 13 18:12:24 UTC 2025","failed","Sun Apr 13 18:12:24 UTC 2025","","2. Приемка товаров","",""
"","198","2.2 Начало обработки накладной","WMS Тестирование","Sun Apr 13 18:12:23 UTC 2025","failed","Sun Apr 13 18:12:23 UTC 2025","","2. Приемка товаров","",""
"","198","2.3 Сканирование товара 1","WMS Тестирование","Sun Apr 13 18:12:23 UTC 2025","failed","Sun Apr 13 18:12:24 UTC 2025","","2. Приемка товаров","",""
"","1497","1.1 Создание ячейки 1","WMS Тестирование","Sun Apr 13 18:12:21 UTC 2025","failed","Sun Apr 13 18:12:23 UTC 2025","","1. Подготовка","",""
"","198","4.2 Проверка статуса ячейки","WMS Тестирование","Sun Apr 13 18:12:25 UTC 2025","failed","Sun Apr 13 18:12:26 UTC 2025","","4. Проверки","",""
"","196","3.2 Размещение товара 1 (остаток)","WMS Тестирование","Sun Apr 13 18:12:25 UTC 2025","failed","Sun Apr 13 18:12:25 UTC 2025","","3. Размещение товаров","",""
"","203","1.2 Создание ячейки 2","WMS Тестирование","Sun Apr 13 18:12:23 UTC 2025","failed","Sun Apr 13 18:12:23 UTC 2025","","1. Подготовка","",""
"","198","2.7 Завершение накладной","WMS Тестирование","Sun Apr 13 18:12:24 UTC 2025","failed","Sun Apr 13 18:12:24 UTC 2025","","2. Приемка товаров","",""
"","196","3.3 Размещение товара 2","WMS Тестирование","Sun Apr 13 18:12:25 UTC 2025","failed","Sun Apr 13 18:12:25 UTC 2025","","3. Размещение товаров","",""
"","201","3.4 Проверка инвентаря","WMS Тестирование","Sun Apr 13 18:12:25 UTC 2025","passed","Sun Apr 13 18:12:25 UTC 2025","","3. Размещение товаров","",""
"","205","1.3 Создание тележки для размещения","WMS Тестирование","Sun Apr 13 18:12:23 UTC 2025","passed","Sun Apr 13 18:12:23 UTC 2025","","1. Подготовка","",""
"","196","4.1 Проверка статуса тележки","WMS Тестирование","Sun Apr 13 18:12:25 UTC 2025","failed","Sun Apr 13 18:12:25 UTC 2025","","4. Проверки","",""
"","202","2.5 Сканирование товара 2","WMS Тестирование","Sun Apr 13 18:12:24 UTC 2025","failed","Sun Apr 13 18:12:24 UTC 2025","","2. Приемка товаров","",""
"","212","2.1 Создание накладной","WMS Тестирование","Sun Apr 13 18:12:23 UTC 2025","failed","Sun Apr 13 18:12:23 UTC 2025","","2. Приемка товаров","",""
"","199","3.1 Размещение товара 1 (частично)","WMS Тестирование","Sun Apr 13 18:12:24 UTC 2025","failed","Sun Apr 13 18:12:25 UTC 2025","","3. Размещение товаров","",""
"","203","2.6 Подсчет товара 2","WMS Тестирование","Sun Apr 13 18:12:24 UTC 2025","failed","Sun Apr 13 18:12:24 UTC 2025","","2. Приемка товаров","",""
